역명,호선,문화공간,휠체어리프트,만남의장소,환승주차장,자전거보관소,엘리베이터,기차예매역,무인민원발급기,환전키오스크,수유실,충전기운영수량
서울,1,N,Y,N,N,N,Y,N,N,N,N,2.0
시청,1,N,N,N,N,N,Y,N,N,N,N,0.0
종각,1,N,N,N,N,Y,Y,N,Y,N,N,1.0
종로3가,1,N,N,N,N,N,Y,N,N,N,Y,1.0
종로5가,1,N,N,N,N,N,Y,N,N,N,N,0.0
동대문,1,N,N,Y,N,Y,Y,N,N,N,Y,0.0
신설동,1,N,Y,N,N,N,Y,N,N,N,N,0.0
제기동,1,N,N,N,N,Y,Y,N,N,N,N,2.0
청량리,1,N,Y,N,N,N,Y,Y,N,N,N,2.0
동묘앞,1,N,N,N,N,Y,Y,N,N,N,N,1.0
까치산,2,N,N,N,N,N,N,N,Y,N,Y,
시청,2,N,N,N,N,N,Y,N,N,N,N,0.0
을지로입구,2,N,N,N,N,N,Y,N,N,N,N,0.0
을지로3가,2,N,N,N,N,N,Y,N,N,N,N,0.0
을지로4가,2,N,N,Y,N,N,Y,N,N,N,N,0.0
동대문역사문화공원,2,N,N,N,N,Y,Y,N,N,Y,N,1.0
신당,2,N,N,Y,N,N,Y,N,N,N,N,0.0
상왕십리,2,N,Y,Y,N,Y,Y,N,N,N,N,1.0
왕십리,2,N,N,Y,N,Y,Y,N,N,N,N,1.0
한양대,2,N,N,Y,N,Y,Y,N,N,N,N,1.0
뚝섬,2,N,N,Y,N,Y,Y,N,N,N,N,1.0
성수,2,N,N,Y,N,Y,Y,N,N,N,Y,1.0
건대입구,2,N,N,Y,N,Y,Y,N,Y,N,N,2.0
구의,2,N,N,Y,N,Y,Y,N,Y,N,N,0.0
강변,2,N,N,N,N,Y,Y,N,N,N,Y,0.0
잠실나루,2,N,N,Y,Y,Y,Y,N,N,N,N,0.0
잠실,2,N,Y,N,N,Y,Y,N,N,Y,Y,1.0
잠실새내,2,N,N,Y,N,Y,Y,N,N,N,N,0.0
종합운동장,2,N,N,Y,N,N,Y,N,N,N,N,1.0
삼성,2,N,Y,N,N,Y,Y,N,Y,Y,Y,0.0
선릉,2,Y,N,N,N,N,Y,N,Y,N,N,2.0
역삼,2,N,N,Y,N,N,Y,N,Y,N,N,0.0
강남,2,N,N,N,N,N,Y,N,Y,N,Y,0.0
교대,2,N,N,Y,N,Y,Y,N,N,N,N,0.0
서초,2,N,N,Y,N,Y,Y,N,N,N,N,2.0
방배,2,N,N,Y,N,Y,Y,N,N,N,N,0.0
사당,2,Y,N,Y,N,Y,Y,N,N,N,N,2.0
낙성대,2,N,N,Y,N,N,Y,N,Y,N,N,0.0
서울대입구,2,N,N,Y,N,Y,Y,N,Y,N,N,0.0
봉천,2,N,N,Y,N,N,Y,N,Y,N,N,0.0
신림,2,N,N,Y,Y,Y,Y,N,Y,N,Y,0.0
신대방,2,N,N,Y,Y,Y,Y,N,N,N,N,0.0
구로디지털단지,2,N,N,Y,Y,Y,Y,N,N,N,N,0.0
대림,2,N,N,Y,N,Y,Y,N,N,N,Y,2.0
신도림,2,N,N,N,Y,Y,Y,N,N,N,N,2.0
