,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A01,1,1,출입구-승강장,1,,1) 15번 출입구 진입
1,AR,A1,A01,1,1,출입구-승강장,2,,2) 엘리베이터(1호기/2호기) 이용 지하 3층으로 이동
2,AR,A1,A01,1,1,출입구-승강장,3,,3) 개집표기 통과 후 일반열차 승강장 엘리베이터(5호기/6호기) 이용
3,AR,A1,A01,1,1,출입구-승강장,4,,4) 지하 7층으로 이동
4,AR,A1,A01,1,1,출입구-승강장,5,,5) 일반열차 승강장 이용
5,AR,A1,A01,2,1,출입구-승강장,1,,1) 15번 출입구 진입
6,AR,A1,A01,2,1,출입구-승강장,2,,2) 엘리베이터(1호기/2호기) 이용 지하 2층으로 이동
7,AR,A1,A01,2,1,출입구-승강장,3,,3) 개집표기 통과 후 직통열차 승강장 엘리베이터(3호기/4호기) 이용
8,AR,A1,A01,2,1,출입구-승강장,4,,4) 지하 7층으로 이동
9,AR,A1,A01,2,1,출입구-승강장,5,,5) 직통열차 승강장 이용
,railOprIsttCd,lnCd,stinCd,mvPathMgNo,mvPathDvCd,mvPathDvNm,mvTpOrdr,mvDst,mvContDtl
0,AR,A1,A02,1,1,출입구-승강장,1,,1) 10번 출입구 근처 엘리베이터 이용 지하 3층으로 이동
1,AR,A1,A02,1,1,출입구-승강장,2,,2) 대합실에서 개집표구로 이동
2,AR,A1,A02,1,1,출입구-승강장,3,,3) 개집표구 통과 후 엘리베이터로 이동
3,AR,A1,A02,1,1,출입구-승강장,4,,4) 서울역 방면 승강장 엘리베이터 이용하여 지하 4층 이동
4,AR,A1,A02,1,1,출입구-승강장,5,,5) 지하 4층 서울역 방면 승강장 이용
5,AR,A1,A02,2,1,출입구-승강장,1,,1) 10번 출입구 근처 엘리베이터 이용 지하 3층으로 이동
6,AR,A1,A02,2,1,출입구-승강장,2,,2) 대합실에서 개집표구로 이동
7,AR,A1,A02,2,1,출입구-승강장,3,,3) 개집표구 통과 후 엘리베이터로 이동
8,AR,A1,A02,2,1,출입구-승강장,4,,4) 서울역 방면 승강장 엘리베이터 이용하여 지하 4층 이동
9,AR,A1,A02,2,1,출입구-승강장,5,,5) 지하 4층 서울역 방면 승강장 이용
10,AR,A1,A02,1,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
11,AR,A1,A02,1,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트를 통과하여 대합실 이동
12,AR,A1,A02,1,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
13,AR,A1,A02,1,3,환승경로,4,,4) 6호선 효창공원 승강장 엘리베이터 이용하여 지하 2층 이동
14,AR,A1,A02,1,3,환승경로,5,,5) 6호선 승강장에서 5호선 환승통로로 이동
15,AR,A1,A02,1,3,환승경로,6,,6) 5호선 환승통로에서 엘리베이터 이용하여 지하 3층 승강징 이동
16,AR,A1,A02,1,3,환승경로,7,,7) 마포/애오개 방면 승강장
17,AR,A1,A02,2,3,환승경로,1,,1) 서울역 방면 승강장 3번차량 근처 엘리베이터 지하 3층으로 이동
18,AR,A1,A02,2,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
19,AR,A1,A02,2,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
20,AR,A1,A02,2,3,환승경로,4,,4) 6호선 효창공원 승강장 엘리베이터 이용하여 지하 2층 이동
21,AR,A1,A02,2,3,환승경로,5,,5) 6호선 승강장에서 5호선 환승통로로 이동
22,AR,A1,A02,2,3,환승경로,6,,6) 5호선 환승통로에서 엘리베이터 이용하여 지하 3층 승강징 이동
23,AR,A1,A02,2,3,환승경로,7,,7) 마포/애오개 방면 승강장
24,AR,A1,A02,3,3,환승경로,1,,1) 홍대입구 방면 승강장 4번차량 근처 엘리베이터 지하 3층으로 이동
25,AR,A1,A02,3,3,환승경로,2,,2) 5호선/6호선 역사방향 환승게이트 통과하여 대합실 이동
26,AR,A1,A02,3,3,환승경로,3,,3) 5호선/6호선 환승통로로 이동
