,line,name,lat,lng,2022_average_formonth,휠체어리프트여부,엘리베이터여부,운영수량,설치위치
0,1,종로3가,37.571607,126.991806,64711,N,Y,1,12번 출구로 내려와서 20m 지점
1,1,종로5가,37.570926,127.001849,51659,N,Y,0,
2,1,동대문,37.57142,127.009745,31303,N,Y,0,
3,1,신설동,37.575297,127.025087,29963,Y,Y,0,
4,1,제기동,37.578103,127.034893,52460,N,Y,1,1번 출구 개찰구 앞 5m 지점
5,1,청량리,37.580178,127.046835,58650,Y,Y,0,
6,1,동묘앞,37.572627,127.016429,42345,N,Y,1,B1층 상선 승강장 2-2 지점
7,1,시청,37.564718,126.977108,23313,N,Y,0,
8,1,종각,37.570161,126.982923,35669,N,Y,1,"3, 4번 출구쪽 게이트 방면 45m 지점"
9,2,강변,37.535095,127.094681,26323,N,Y,0,
10,2,잠실나루,37.520733,127.10379,17150,N,Y,0,
11,2,잠실,37.51395,127.102234,51575,Y,Y,0,
12,2,잠실새내,37.511687,127.086162,18923,N,Y,0,
13,2,종합운동장,37.510997,127.073642,10044,N,Y,0,
14,2,삼성,37.508844,127.06316,30036,Y,Y,0,
15,2,선릉,37.504503,127.049008,45897,N,Y,1,대합실 1번 출구쪽 화장실앞
16,2,역삼,37.500622,127.036456,41604,N,Y,0,
17,2,강남,37.497175,127.027926,47191,N,Y,0,
18,2,교대,37.493415,127.01408,28047,N,Y,0,
19,2,방배,37.481426,126.997596,14405,N,Y,0,
20,2,사당,37.47653,126.981685,39581,N,Y,1,13번 출입구에서 지하1층으로 내려온 후 40M
21,2,낙성대,37.47693,126.963693,27140,N,Y,0,
22,2,서울대입구,37.481247,126.952739,45932,N,Y,0,
23,2,봉천,37.482362,126.941892,40711,N,Y,0,
24,2,신림,37.484201,126.929715,68415,N,Y,0,
25,2,신대방,37.487462,126.913149,36212,N,Y,0,
26,2,구로디지털단지,37.485266,126.901401,52271,N,Y,0,
27,2,신도림,37.508725,126.891295,54954,N,Y,1,1번 출구 고객안내센터 좌측 벽면
28,2,문래,37.517933,126.89476,20938,N,Y,0,
29,2,영등포구청,37.52497,126.895951,32533,N,Y,0,
30,2,용답,37.561904,127.050899,4496,Y,Y,0,
31,2,신정네거리,37.520074,126.852912,18073,Y,Y,0,
32,2,을지로입구,37.566014,126.982618,28593,N,Y,0,
33,2,을지로3가,37.566295,126.99191,19326,N,Y,0,
34,2,을지로4가,37.566941,126.998079,16902,N,Y,0,
35,2,동대문역사문화공원,37.565138,127.007896,15539,N,Y,1,2번출구 하부 비상출입문 옆
36,2,신당,37.565972,127.01782,24123,N,Y,0,
37,2,한양대,37.555273,127.043655,4932,N,Y,1,2번출구
38,2,뚝섬,37.547184,127.047367,18997,N,Y,1,대합실 3번출구 E/V옆
39,2,성수,37.544581,127.055961,46304,N,Y,1,가대합실 해피박스옆
40,2,건대입구,37.540693,127.07023,29755,N,Y,1,대합실 위생자판기 옆
41,2,구의,37.537077,127.085916,29105,N,Y,0,
42,2,당산,37.53438,126.902281,18212,N,Y,0,
43,2,합정,37.549463,126.913739,21222,N,Y,0,
44,2,홍대입구,37.557192,126.925381,33046,N,Y,0,
45,2,신촌,37.555134,126.936893,33754,N,Y,0,
46,2,이대,37.556733,126.946013,13575,N,Y,1,역무실 (역무실에 요청시 사용가능)
47,2,아현,37.557345,126.956141,16384,N,Y,1,역무실 (역무실에 요청시 사용가능)
48,2,충정로,37.559973,126.963672,14870,N,Y,1,역무실 (역무실에 요청시 사용가능)
49,2,신답,37.57004,127.046481,2501,N,Y,0,
50,2,시청,37.564718,126.977108,15559,N,Y,0,
51,2,서초,37.491897,127.007917,16166,N,Y,1,"3,4번 출구 에스컬레이터 올라가기전 벽면"
52,2,왕십리,37.561533,127.037732,16127,N,Y,0,
53,2,상왕십리,37.564354,127.029354,19259,Y,Y,1,지하1층 대합실 중앙
54,2,대림,37.49297,126.895801,33296,N,Y,1,"1,2번출구쪽 비상게이트통과후 약4M전방"
55,2,신설동,37.575297,127.025087,9156,Y,Y,0,
56,2,도림천,37.514287,126.882768,1885,N,Y,0,
57,2,양천구청,37.512398,126.865819,11147,N,Y,0,
58,2,용두,37.574028,127.038091,5670,N,Y,0,
59,3,양재,37.484147,127.034631,32063,N,Y,0,
60,3,매봉,37.486947,127.046769,10574,N,Y,0,
61,3,도곡,37.490858,127.055381,3953,N,Y,0,
62,3,대치,37.494612,127.063642,8460,N,Y,0,
63,3,학여울,37.496663,127.070594,2967,N,Y,0,
64,3,대청,37.493514,127.079532,15387,N,Y,0,
65,3,일원,37.483681,127.08439,14369,N,Y,0,
66,3,수서,37.487371,127.10188,34788,N,Y,1,대합실 상가(미샤) 옆
67,3,동대입구,37.559052,127.005602,7896,N,Y,0,
68,3,금호,37.548034,127.015872,9748,N,Y,0,
69,3,옥수,37.540685,127.017965,9882,N,Y,1,4번 출구 E/S 위 좌측 벽면
70,3,압구정,37.527072,127.028461,22404,N,Y,0,
71,3,신사,37.516334,127.020114,17855,N,Y,0,
72,3,잠원,37.512759,127.01122,4770,N,Y,1,3번 출구 방풍문 옆 벽면
73,3,고속터미널,37.50481,127.004943,36652,Y,Y,0,
74,3,교대,37.493415,127.01408,10008,Y,Y,0,
75,3,남부터미널,37.485013,127.016189,25520,N,Y,0,
